Player_ID,LastName,FirstName,Jersey_Num,Position,Height,Weight,Birth_Date,Age,Birth_City,Birth_Country,Rookie,Team_ID,Team_Abbr.,Team_City,Team_Name
10138,Abrines,Alex,8,SG,"6'6""",190,8/1/93,24,Palma de Mallorca,Spain,N,96,OKL,Oklahoma City,Thunder
9466,Acy,Quincy,13,PF,"6'7""",240,10/6/90,27,"Tyler, TX",USA,N,84,BRO,Brooklyn,Nets
9301,Adams,Jordan,3,SG,"6'5""",209,7/8/94,23,"Atlanta, GA",USA,N,,,,
9390,Adams,Steven,12,C,"7'0""",255,7/20/93,24,Rotorua,New Zealand,N,96,OKL,Oklahoma City,Thunder
13742,Adebayo,Bam,13,C,"6'10""",255,7/18/97,20,"Newark, NJ",USA,Y,92,MIA,Miami,Heat
9375,Afflalo,Arron,4,SG,"6'5""",210,10/15/85,32,"Los Angeles, CA",USA,N,95,ORL,Orlando,Magic
9357,Ajinca,Alexis,42,C,"7'2""",248,5/6/88,30,Saint-Etienne,France,N,110,NOP,New Orleans,Pelicans
9272,Aldrich,Cole,45,C,"6'11""",253,10/31/88,29,"Burnsville, MN",USA,N,100,MIN,Minnesota,Timberwolves
9480,Aldridge,LaMarcus,12,PF,"6'11""",260,7/19/85,32,"Dallas, TX",USA,N,106,SAS,San Antonio,Spurs
9299,Allen,Tony,24,SF,"6'4""",213,1/10/82,36,"Chicago, IL",USA,N,89,CHI,Chicago,Bulls
13776,Allen,Kadeem,45,SG,"6'3""",200,1/13/93,25,"Wilmington, NC",USA,Y,82,BOS,Boston,Celtics
13749,Allen,Jarrett,31,C,"6'11""",234,4/21/98,20,"Austin, TX",USA,Y,84,BRO,Brooklyn,Nets
9254,Allen,Lavoy,5,PF,"6'9""",260,2/4/89,29,"Morrisville, PA",USA,N,,,,
9452,Aminu,Al-Farouq,8,PF,"6'9""",220,9/21/90,27,"Atlanta, GA",USA,N,97,POR,Portland,Trail Blazers
9379,Amundson,Lou,17,PF,"6'9""",220,12/7/82,35,"Ventura, CA",USA,N,,,,
9297,Andersen,Chris,7,C,,,7/7/78,39,"Long Beach, CA",USA,N,,,,
9178,Anderson,Justin,1,SF,"6'6""",230,11/19/93,24,"Montross, VA",USA,N,85,PHI,Philadelphia,76ers
9527,Anderson,Alan,26,SG,"6'6""",220,10/16/82,35,"Minneapolis, MN",USA,N,102,LAC,Los Angeles,Clippers
9469,Anderson,James,5,SG,"6'6""",213,3/25/89,29,"El Dorado, AR",USA,N,,,,
9353,Anderson,Ryan,33,PF,"6'10""",240,5/6/88,30,"Sacramento, CA",USA,N,109,HOU,Houston,Rockets
9475,Anderson,Kyle,1,SF,"6'9""",230,9/20/93,24,"New York, NY",USA,N,106,SAS,San Antonio,Spurs
13796,Anigbogu,Ike,13,C,"6'10""",262,10/16/98,19,"San Diego, CA",USA,Y,87,IND,Indiana,Pacers
9560,Antetokounmpo,Thanasis,43,SF,,,7/18/92,25,Athens,Greece,N,,,,
9325,Antetokounmpo,Giannis,34,SF,"6'11""",222,12/6/94,23,Athens,Greece,N,90,MIL,Milwaukee,Bucks
9214,Anthony,Joel,50,C,"6'9""",245,8/9/82,35,Montreal,Canada,N,,,,
9369,Anthony,Carmelo,7,PF,"6'8""",240,5/29/84,34,"New York, NY",USA,N,96,OKL,Oklahoma City,Thunder
13750,Anunoby,OG,3,SF,"6'8""",235,7/17/97,20,London,United Kingdom,Y,81,TOR,Toronto,Raptors
9559,Appling,Keith,,PG,,,2/13/92,26,"Detroit, MI",USA,N,,,,
11884,Arcidiacono,Ryan,10,G,"6'3""",195,3/26/94,24,"Langhorne, PA",USA,Y,89,CHI,Chicago,Bulls
9235,Ariza,Trevor,1,SF,"6'8""",215,6/30/85,32,"Miami, FL",USA,N,109,HOU,Houston,Rockets
9198,Arthur,Darrell,0,PF,"6'9""",235,3/25/88,30,"Dallas, TX",USA,N,99,DEN,Denver,Nuggets
13805,Artis,Jamel,,SG,"6'7""",213,1/10/93,25,"Baltimore, MD",USA,Y,95,ORL,Orlando,Magic
9358,Asik,Omer,3,C,"7'0""",255,7/3/86,31,Bursa,Turkey,N,89,CHI,Chicago,Bulls
13941,Atkinson,Kenny,,C,,,1/25/18,0,,,N,84,BRO,Brooklyn,Nets
9190,Augustin,D.J.,14,PG,"6'0""",183,11/10/87,30,"New Orleans, LA",USA,N,95,ORL,Orlando,Magic
9276,Ayres,Jeff,19,C,"6'9""",250,4/29/87,31,,,N,,,,
9360,Babbitt,Luke,8,PF,"6'9""",225,6/19/89,28,"Cincinnati, OH",USA,N,92,MIA,Miami,Heat
13788,Bacon,Dwayne,7,SF,"6'7""",221,8/30/95,22,"Lakeland, FL",USA,Y,93,CHA,Charlotte,Hornets
9150,Bairstow,Cameron,41,C,"6'9""",250,12/7/90,27,Brisbane,Australia,N,,,,
10102,Baker,Ron,31,PG,"6'4""",220,3/30/93,25,"Hays, KS",USA,N,83,NYK,New York,Knicks
10131,Baldwin IV,Wade,4,G,"6'4""",202,3/26/96,22,"Belle Mead, NJ",USA,N,97,POR,Portland,Trail Blazers
13728,Ball,Lonzo,2,PG,"6'6""",190,10/27/97,20,"Anaheim, CA",USA,Y,105,LAL,Los Angeles,Lakers
9229,Barbosa,Leandro,19,SG,"6'3""",194,11/28/82,35,San Paulo,Brazil,N,,,,
9180,Barea,J.J.,5,SG,"6'0""",185,6/26/84,33,Mayaguez,Puerto Rico,N,108,DAL,Dallas,Mavericks
9537,Bargnani,Andrea,,C,,,10/26/85,32,Rome,Italy,N,,,,
9220,Barnes,Harrison,40,SF,"6'8""",225,5/30/92,26,"Ames, IA",USA,N,108,DAL,Dallas,Mavericks
9298,Barnes,Matt,22,SF,"6'7""",226,3/9/80,38,"Santa Clara, CA",USA,N,,,,
9197,Barton,Will,5,SG,"6'6""",190,1/6/91,27,"Baltimore, MD",USA,N,99,DEN,Denver,Nuggets
9288,Bass,Brandon,2,PF,"6'8""",250,4/30/85,33,"Baton Rouge, LA",USA,N,,,,
9133,Batum,Nicolas,5,SG,"6'8""",200,12/14/88,29,Lisieux,France,N,93,CHA,Charlotte,Hornets
