Player_ID,LastName,FirstName,Jersey_Num,Position,Height,Weight,Birth_Date,Age,Birth_City,Birth_Country,Rookie,Team_ID,Team_Abbr.,Team_City,Team_Name,GamesPlayed,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FtAtt,FtMade
10138,Abrines,Alex,8,SG,"6'6""",190,8/1/93,24,Palma de Mallorca,Spain,N,96,OKL,Oklahoma City,Thunder,75,70,31,221,84,46,39
9466,Acy,Quincy,13,PF,"6'7""",240,10/6/90,27,"Tyler, TX",USA,N,84,BRO,Brooklyn,Nets,70,73,28,292,102,60,49
9390,Adams,Steven,12,C,"7'0""",255,7/20/93,24,Rotorua,New Zealand,N,96,OKL,Oklahoma City,Thunder,76,710,448,2,0,287,160
13742,Adebayo,Bam,13,C,"6'10""",255,7/18/97,20,"Newark, NJ",USA,Y,92,MIA,Miami,Heat,69,333,174,7,0,179,129
9375,Afflalo,Arron,4,SG,"6'5""",210,10/15/85,32,"Los Angeles, CA",USA,N,95,ORL,Orlando,Magic,52,92,38,70,27,26,22
9357,Ajinca,Alexis,42,C,"7'2""",248,5/6/88,30,Saint-Etienne,France,N,110,NOP,New Orleans,Pelicans,0,0,0,0,0,0,0
9272,Aldrich,Cole,45,C,"6'11""",253,10/31/88,29,"Burnsville, MN",USA,N,100,MIN,Minnesota,Timberwolves,21,15,5,0,0,6,2
9480,Aldridge,LaMarcus,12,PF,"6'11""",260,7/19/85,32,"Dallas, TX",USA,N,106,SAS,San Antonio,Spurs,75,1255,660,92,27,399,334
13749,Allen,Jarrett,31,C,"6'11""",234,4/21/98,20,"Austin, TX",USA,Y,84,BRO,Brooklyn,Nets,72,382,229,15,5,147,114
13776,Allen,Kadeem,45,SG,"6'3""",200,1/15/93,25,"Wilmington, NC",USA,Y,82,BOS,Boston,Celtics,18,11,6,11,0,9,7
9299,Allen,Tony,24,SF,"6'4""",213,1/10/82,36,"Chicago, IL",USA,N,89,CHI,Chicago,Bulls,22,79,40,12,4,21,11
9452,Aminu,Al-Farouq,8,PF,"6'9""",220,9/21/90,27,"Atlanta, GA",USA,N,97,POR,Portland,Trail Blazers,69,243,105,339,125,80,59
9527,Anderson,Alan,26,SG,"6'6""",220,10/16/82,35,"Minneapolis, MN",USA,N,102,LAC,Los Angeles,Clippers,0,0,0,0,0,0,0
9178,Anderson,Justin,1,SF,"6'6""",230,11/19/93,24,"Montross, VA",USA,N,85,PHI,Philadelphia,76ers,38,99,53,103,34,38,28
9475,Anderson,Kyle,1,SF,"6'9""",230,9/20/93,24,"New York, NY",USA,N,106,SAS,San Antonio,Spurs,74,381,212,57,19,146,104
9353,Anderson,Ryan,33,PF,"6'10""",240,5/6/88,30,"Sacramento, CA",USA,N,109,HOU,Houston,Rockets,66,141,76,339,131,93,72
13796,Anigbogu,Ike,13,C,"6'10""",262,10/16/98,19,"San Diego, CA",USA,Y,87,IND,Indiana,Pacers,11,9,4,0,0,6,5
